x1,x2,x3,z
0.68,-2.14,0.16,0.84
0.68,-0.12,0.14,0.16
0.60,-1.69,0.28,0.62
0.60,-1.69,0.28,0.60
0.60,-0.22,0.28,0.63
0.60,-0.81,0.28,0.36
0.60,-0.43,0.29,0.45
0.75,-1.48,0.12,0.77
0.75,-1.32,0.11,0.66
0.94,-0.98,0.11,0.51
1.03,-0.10,0.49,0.68
1.03,-0.18,0.49,0.57
1.03,-0.96,0.49,0.54
1.03,-1.62,0.49,0.98
1.03,-0.18,0.49,0.87
1.03,-0.28,0.49,0.76
1.03,-0.96,0.49,0.46
1.03,-0.53,0.49,0.33
0.13,-1.36,0.67,1.18
0.13,-0.37,0.67,1.01
0.13,-0.14,0.67,0.83
0.18,-1.55,0.46,1.02
0.18,-0.73,0.46,0.82
0.18,-0.40,0.46,0.98
0.18,-0.07,0.46,0.85
1.40,-1.84,0.28,0.90
1.40,-1.00,0.28,0.62
1.40,-0.57,0.28,0.26
1.40,-0.10,0.28,0.18
0.87,-1.50,0.13,0.82
0.87,-0.65,0.13,0.65
0.87,-0.42,0.13,0.82
1.83,-1.92,0.25,0.85
1.83,-1.01,0.25,0.70
1.83,-0.26,0.25,0.41
0.09,-0.58,0.85,0.87
0.09,-1.13,0.85,0.96
0.09,-0.28,0.85,0.80
0.21,-0.31,0.70,0.61
0.21,-0.70,0.70,0.76
0.41,-0.41,0.55,0.42
0.41,-0.89,0.55,0.73
0.75,-0.92,0.40,0.71
1.02,-0.40,0.49,0.59
1.02,-0.13,0.49,0.83
1.02,-0.40,0.49,0.53
1.02,-0.97,0.49,0.47
0.50,-0.51,1.00,0.25
0.50,-0.25,1.15,0.16
0.50,-0.14,1.11,0.31
0.40,-1.10,0.30,0.74
0.40,-1.63,0.30,0.94
0.00,-0.73,0.05,0.80
1.06,-1.68,0.48,1.00
1.06,-0.98,0.48,0.91
1.06,-0.41,0.48,1.13
1.06,-0.20,0.48,1.04
0.87,-1.49,0.12,0.97
0.33,-1.67,0.12,1.01
